# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.524266905150e+13       3.253659453225e-24       3.041168383788e-08       5.012146831656e+20       1.385745002625e+04       9.091222790068e-10       2.112245246479e+17       1.755806319502e-08       1.485330685575e+41       7.075404148526e+30       4.599012696542e+31       1.051008928071e+16      -4.000000000000e-01       1.026830900103e+41       2.512161586208e+41       2.512161586208e+41       8.373871952258e+40      -1.101410143654e+49       3.344651364733e-05       4.199789857175e-01 
       1.507970333202e+13       3.324363770852e-24       3.074092091992e-08       4.905545855932e+20       1.385745002625e+04       9.189471252279e-10       2.089662353342e+17       1.774781244526e-08       1.422820986291e+41       6.850883520710e+30       4.453074288462e+31       1.030869295551e+16      -4.000000000000e-01       9.836170276607e+40       2.406438014465e+41       2.406438014465e+41       8.021460046505e+40      -1.043777565732e+49       3.359750277431e-05       4.180915757895e-01 
       1.491847994688e+13       3.396604543256e-24       3.107197699137e-08       4.801212125843e+20       1.385745002625e+04       9.288781481487e-10       2.067320903315e+17       1.793961230767e-08       1.362941989074e+41       6.633487505321e+30       4.311766878458e+31       1.011115582495e+16      -4.000000000000e-01       9.422217981629e+40       2.305163787734e+41       2.305163787734e+41       7.683879290789e+40      -9.891606800643e+48       3.374849190130e-05       4.162210542237e-01 
       1.475898026805e+13       3.470415158674e-24       3.140849003103e-08       4.699097420416e+20       1.385745002625e+04       9.389164952165e-10       2.045218315030e+17       1.813348494312e-08       1.305582981611e+41       6.422990020225e+30       4.174943513146e+31       9.917403938393e+15      -4.000000000000e-01       9.025686745630e+40       2.208151656656e+41       2.208151656656e+41       7.360505520581e+40      -9.374016870145e+48       3.389948102828e-05       4.143671953567e-01 
       1.460118586669e+13       3.545829730860e-24       3.174682206009e-08       4.599154544267e+20       1.385745002625e+04       9.490633262786e-10       2.023352034716e+17       1.832945275198e-08       1.250637910885e+41       6.219172157453e+30       4.042461902345e+31       9.727364762205e+15      -4.000000000000e-01       8.645843408534e+40       2.115222252205e+41       2.115222252205e+41       7.050740839128e+40      -8.883510439987e+48       3.405047015527e-05       4.125297775273e-01 
       1.444507851094e+13       3.622883114948e-24       3.209061105736e-08       4.501337305788e+20       1.385745002625e+04       9.593198137172e-10       2.001719535907e+17       1.852753837671e-08       1.198005187087e+41       6.021821955546e+30       3.914184271105e+31       9.540967152758e+15      -4.000000000000e-01       8.281985665089e+40       2.026203754048e+41       2.026203754048e+41       6.754012511987e+40      -8.418670334240e+48       3.420145928226e-05       4.107085829890e-01 
       1.429064016392e+13       3.701610923498e-24       3.243803803343e-08       4.405600495799e+20       1.385745002625e+04       9.696871425840e-10       1.980318319147e+17       1.872776470445e-08       1.147587495786e+41       5.830734179121e+30       3.789977216429e+31       9.358141329691e+15      -4.000000000000e-01       7.933440766350e+40       1.940931572858e+41       1.940931572858e+41       6.469771908070e+40      -7.978153532369e+48       3.435244840924e-05       4.089033978234e-01 
       1.413785298155e+13       3.782049542964e-24       3.278728399891e-08       4.311899866653e+20       1.385745002625e+04       9.801665107377e-10       1.959145911703e+17       1.893015486970e-08       1.099291617999e+41       5.645710105437e+30       3.669711568534e+31       9.178818849795e+15      -4.000000000000e-01       7.599564275810e+40       1.859248046004e+41       1.859248046004e+41       6.197493485268e+40      -7.560687288963e+48       3.450343753623e-05       4.071140118566e-01 
       1.398669931054e+13       3.864236150401e-24       3.314198693261e-08       4.220192111783e+20       1.385745002625e+04       9.907591289822e-10       1.938199867280e+17       1.913473225694e-08       1.053028257837e+41       5.466557317733e+30       3.553262256527e+31       9.002932581235e+15      -4.000000000000e-01       7.279738877882e+40       1.781002146036e+41       1.781002146036e+41       5.936673818752e+40      -7.165065456506e+48       3.465442666323e-05       4.053402185773e-01 
       1.383716168635e+13       3.948208730842e-24       3.350032784510e-08       4.130434845692e+20       1.385745002625e+04       1.001466221206e-09       1.917477765737e+17       1.934152050340e-08       1.008711877402e+41       5.293089505124e+30       3.440508178331e+31       8.830416678709e+15      -4.000000000000e-01       6.973373236520e+40       1.706049201451e+41       1.706049201451e+41       5.686830670179e+40      -6.790145000569e+48       3.480541579022e-05       4.035818150581e-01 
       1.368922283114e+13       4.034006094756e-24       3.386230673641e-08       4.042586584358e+20       1.385745002625e+04       1.012289024526e-09       1.896977212807e+17       1.955054350173e-08       9.662605386306e+40       5.125126268845e+30       3.331332074749e+31       8.661206558645e+15      -4.000000000000e-01       6.679900901879e+40       1.634250629203e+41       1.634250629203e+41       5.447502096062e+40      -6.434842697339e+48       3.495640491721e-05       4.018386018775e-01 
       1.354286565181e+13       4.121667896037e-24       3.422792360652e-08       3.956606726063e+20       1.385745002625e+04       1.023228789425e-09       1.876695839821e+17       1.976182540282e-08       9.255957518014e+40       4.962492934641e+30       3.225620407516e+31       8.495238875083e+15      -4.000000000000e-01       6.398779262989e+40       1.565473678473e+41       1.565473678473e+41       5.218245593668e+40      -6.098132003960e+48       3.510739404421e-05       4.001103830447e-01 
